17,81,0
86,160,0
46,223,24618
46,200,19033
46,183,6664
46,176,2969
17,167,70659
86,207,70659
46,281,18337
46,200,22296
46,223,7345
46,184,2256
46,176,1768
46,199,889
46,160,27113
46,158,7058
219,149,6096
80,96,140
73,104,1872
84,96,288
85,144,112
68,96,160
32,119,649
46,200,26953
46,199,17305
46,209,1328
46,201,3263
17,96,29177
67,176,29177
13,134,5234
17,96,1360
86,176,1360
46,208,7760
46,175,417
84,103,86708
16,119,86708
69,160,3224
8,160,4896
8,176,512
13,159,1273
17,159,5809
67,199,5809
17,104,1497
86,208,1497
78,80,4328
73,104,240
77,119,168
69,103,265
84,144,57
65,200,200
66,120,696
32,120,232
219,184,1336
80,120,192
73,120,152
84,104,248
85,120,120
68,104,176
32,104,56
80,143,1032
65,16,233
73,120,233
71,127,240
65,140,101
76,96,192
73,119,160
78,104,193
68,95,208
69,104,129
188,96,2464
16,120,2464
17,21,30420
17,158,4576
86,200,4576
17,104,11097
67,240,11097
13,104,2480
17,80,464
86,183,464
8,136,3713
8,120,320
13,119,17585
46,143,17314
13,119,12409
86,160,1481
17,279,1481
84,144,5417
69,120,184
65,200,184
66,135,329
188,144,928
32,80,16
69,104,240
84,119,56
32,79,65
69,104,417
16,144,417
69,104,104
83,96,144
84,144,88
73,120,328
32,104,16
65,40,288
83,95,288
85,96,425
66,96,744
32,80,72
16,104,448
76,120,448
191,104,224
191,104,64
78,96,168
69,96,256
77,120,552
69,104,192
82,104,80
69,104,112
32,104,64
191,144,496
191,104,64
82,96,272
69,95,105
83,103,113
188,120,19673
16,320,19673
13,120,1120
16,56,2272
84,136,2272
69,96,56
65,184,376
66,104,328
17,79,6649
67,183,6649
17,160,1536
86,201,1536
84,183,3200
32,145,2664
75,96,472
82,89,271
65,135,160
65,159,97
78,96,25
73,104,327
221,103,969
74,104,329
65,16,160
32,95,160
77,104,121
69,104,296
82,96,88
69,88,88
86,104,488
69,96,184
69,96,64
32,104,112
69,79,168
82,80,113
73,104,368
78,96,224
69,120,200
86,95,392
85,104,681
83,120,256
69,103,2225
83,119,136
84,136,25
188,120,1440
16,160,1440
