69,80,33175
16,210,33175
66,80,841
65,70,130
77,70,312
69,90,160
69,74,120
76,90,138
68,120,912
73,20,130
86,70,530
65,50,130
68,140,180
32,81,270
73,80,560
8,80,2550
8,60,140
8,50,140
8,90,182
32,70,681
73,80,360
78,60,180
73,80,140
77,70,220
69,80,130
78,100,270
69,80,120
32,70,150
73,70,510
78,60,190
84,120,511
69,130,200
82,90,140
78,70,320
69,130,400
84,120,334
73,20,130
83,140,250
190,100,6641
32,50,2390
76,100,1811
16,220,1811
69,130,270
69,50,150
32,160,781
55,130,1350
190,80,1324
75,70,442
32,10,2066
49,160,240
52,140,700
51,130,420
13,130,1030
13,82,130
75,60,1660
16,190,1660
79,90,340
68,120,142
85,50,130
83,100,140
188,70,960
32,50,160
65,130,390
82,120,190
86,70,140
85,80,370
84,120,242
73,60,130
83,120,762
32,70,150
79,70,672
76,50,200
76,50,150
69,176,0
83,120,136
32,112,140
86,80,1390
65,110,200
65,70,130
84,90,370
65,70,130
83,73,139
73,80,230
78,70,230
32,125,611705
75,109,3369
85,47,141
78,63,202
83,141,561
84,62,125
73,78,452
83,125,1170
65,156,125
73,94,1092
68,140,234
73,47,109
76,110,998
32,180,661971
68,80,920
16,210,920
69,130,240
86,80,250
73,90,1650
65,150,991
78,90,380
84,120,750
65,170,661
82,130,150
84,120,580
190,80,761
67,120,310
79,60,210
73,190,210
8,80,1271
77,80,280
32,125,570098
79,125,421
77,93,125
65,47,125
32,109,125
76,78,983
73,62,156
8,109,562
69,125,109
77,62,203
77,63,109
73,78,109
75,93,203
32,156,422
68,125,1466
73,15,125
71,125,265
73,47,125
221,94,1357
75,78,3322
85,93,141
78,63,156
68,141,218
84,78,405
78,70,1250
73,70,150
75,80,140
85,60,141
32,60,662
80,70,320
73,70,150
76,80,130
84,70,430
69,120,130
190,71,702799
32,50,180
84,50,1162
16,190,1162
73,80,1411
8,70,642
79,70,300
79,60,120
32,120,160
75,72,400
79,70,142
68,30,750
85,160,750
76,70,330
69,13,159
72,98,244
69,20,164
76,70,190
32,150,3362
79,80,390
76,50,130
73,9,183
32,120,180
80,80,800
65,80,120
82,80,482
65,50,140
83,140,300
8,70,821
65,132,152
8,90,870
74,110,3061
65,15,146
83,140,1571
84,120,460
73,130,952
32,140,172
84,80,890
69,20,150
77,70,280
65,60,160
32,100,132
80,70,3430
191,70,263
69,140,190
86,80,212
73,70,360
75,50,130
85,50,150
32,142,310
78,130,45528
85,182,130
68,100,200
85,20,130
83,130,170
32,70,370
75,70,430
65,120,230
69,120,160
66,80,502
85,70,311
83,130,1002
32,60,130
83,140,830
80,80,350
65,141,130
77,70,692
77,60,130
69,120,6002
82,84,148
73,84,148
8,130,600
73,120,2066
84,100,180
69,130,460
188,100,760
32,70,120
66,140,820
76,102,272
79,86,152
75,110,4648
69,112,150
69,52,150
82,50,140
73,70,130
65,140,1800
84,100,270
69,100,491
32,100,640
74,110,190
65,20,152
32,100,140
83,130,510
219,130,182
73,96,360
77,100,156
65,80,142
74,90,1127
65,20,142
84,92,510
69,70,120
32,50,152
75,70,150
79,54,158
72,70,210
84,120,274
65,150,1080
190,60,222
32,80,200
86,100,1912
16,300,1912
65,90,710
65,93,152
84,86,131
65,60,146
83,110,140
73,20,120
78,70,170
32,60,470
8,70,662
190,70,320
16,211,320
32,10,162
16,360,570
76,80,272
73,80,210
8,90,502
69,100,140
77,80,180
77,10,142
73,70,142
75,80,180
32,180,520
75,100,2341
85,60,152
78,110,160
83,140,3355
84,80,200
78,70,420
73,62,152
75,60,130
85,70,120
76,90,1071
32,66,146
79,50,162
76,60,130
73,70,120
32,90,142
80,60,612
65,110,190
65,70,140
82,100,160
32,110,170
87,150,1563
84,120,342
32,110,410
80,110,950
73,82,182
76,120,140
84,100,130
73,20,120
32,150,380
192,100,1161
76,100,260
69,60,152
86,140,354
65,70,110
76,90,210
188,100,1061
32,61,151
77,140,150
73,20,160
68,110,220
65,120,230
32,72,182
77,110,963
65,60,130
32,80,140
219,120,2020
78,70,490
78,70,120
69,112,154
76,80,446
73,80,130
75,60,120
85,90,132
76,70,212
84,100,140
32,110,120
73,70,600
77,100,150
69,70,160
84,90,210
76,110,570
69,70,130
83,160,140
73,100,140
78,70,341
190,70,1430
32,50,170
75,70,520
16,210,520
85,70,302
73,70,140
68,60,140
32,102,222
76,70,642
69,62,140
72,91,340
69,30,121
76,70,320
32,90,461
65,150,230
76,80,150
76,20,142
65,20,150
32,130,840
75,80,472
69,110,250
82,90,140
73,100,440
68,120,500
69,60,310
83,140,190
32,130,1090
65,140,252
86,100,220
65,60,120
83,60,182
84,90,474
65,60,140
83,112,141
73,10,130
78,60,160
32,110,690
75,80,592
79,70,141
77,70,202
77,120,570
69,130,192
78,90,200
84,110,510
65,100,242
65,70,130
82,110,212
73,80,120
68,109,170
190,80,22362
16,220,22362
32,70,130
16,300,352
13,90,800
50,80,2050
16,232,2050
221,90,1170
221,80,120
221,20,130
221,20,160
221,10,130
221,10,162
32,100,3362
79,70,152
78,70,190
32,100,150
77,81,580
219,70,650
84,70,1124
84,80,150
69,120,290
84,120,570
85,20,140
32,146,480
75,80,252
85,80,140
78,70,142
84,90,410
83,122,390
78,80,420
73,70,172
75,70,250
49,100,1700
16,220,1700
16,70,720
50,246,720
13,90,1612
50,20,1320
16,176,1320
221,80,2267
221,80,150
221,50,150
221,70,140
221,70,140
221,70,570
32,160,1082
74,90,820
79,70,341
79,50,130
78,122,170
73,60,140
83,120,140
84,52,152
85,90,290
83,130,140
69,90,150
68,130,120
32,120,1102
79,93,302
78,70,189
32,79,130
82,120,183
219,90,390
86,70,550
69,70,140
68,110,172
65,120,212
68,90,180
49,80,1581
16,210,1581
50,80,370
16,220,370
32,130,602
74,92,472
78,90,470
69,60,120
190,70,1300
190,61,140
190,20,150
32,140,1000
74,82,670
78,100,242
69,70,140
190,70,342
190,17,167
190,31,172
13,80,2053
13,180,3123
16,210,1270
84,220,1270
79,84,630
79,60,128
32,170,162
80,90,3367
79,80,130
83,150,180
84,90,200
73,80,452
84,82,210
85,90,170
83,140,140
73,90,290
32,110,160
84,90,1029
69,70,130
73,80,180
78,80,160
85,80,130
68,80,150
32,83,181
84,80,1134
192,70,701
192,60,120
80,53,159
32,180,260
79,70,660
76,60,150
73,80,140
32,70,130
80,67,1479
219,80,360
72,90,560
74,182,152
85,180,0
83,80,130
32,70,130
77,80,360
73,70,120
8,120,1354
8,120,220
8,90,2177
8,90,384
8,10,140
8,80,140
74,72,3130
85,72,152
83,80,152
32,80,3732
77,80,371
73,60,130
75,60,130
83,50,150
188,80,1172
32,60,130
78,70,300
65,80,130
71,100,852
85,80,550
32,74,148
77,90,413
65,70,130
32,60,140
72,70,116781
73,90,280
76,80,170
74,70,190
69,90,162
77,72,212
32,70,202
65,120,883
86,70,190
65,70,132
83,90,140
84,90,270
65,90,120
83,102,152
73,20,150
78,90,140
188,70,860
32,60,140
80,80,472
65,80,150
76,70,140
74,122,172
85,70,150
68,122,1080
32,50,162
77,110,290
85,130,270
32,80,130
76,90,1234
69,130,140
77,70,140
77,70,130
73,70,130
75,60,140
32,110,160
84,130,980
186,81,330
186,30,140
68,140,250
32,70,130
79,70,370
76,80,130
73,70,130
68,120,130
32,20,130
77,101,972
65,10,142
72,70,230
65,70,130
