'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
0, 87, 2487, 5258, 934, 5258, 5258, 5258, 5258, 2895, 5258, 5258, 784, 5258, 5258, 5258, 5258, 1123, 5258, 2520, 5258
1, 81, 1648, 3525, 516, 3525, 943, 412, 3525, 369, 3525, 3525, 815, 3525, 3525, 2201, 3525, 3525, 3525, 3525, 698
2, 73, 5337, 11023, 605, 11023, 11023, 11023, 556, 11023, 11023, 367, 449, 481, 11023, 11023, 11023, 522, 199, 252126, 11023
3, 91, 1951, 4098, 592, 4098, 1544, 880, 688, 528, 696, 392, 1840, 1064, 696, 432, 704, 793, 392, 624, 616
4, 75, 412, 987, 987, 408, 272, 328, 987, 361, 987, 987, 526, 987, 987, 353, 447, 987, 987, 987, 535
5, 99, 3057, 6351, 975, 577, 801, 728, 768, 544, 6351, 5414, 985, 943, 712, 880, 922, 1073, 576, 712, 657
6, 6, 1088, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203, 2203
7, 75, 1053, 2265, 168, 273, 455, 2265, 784, 640, 280, 160, 520, 321, 2576, 281, 272, 160, 240, 319, 240
8, 76, 936, 2034, 320, 424, 134, 103, 437, 1479, 2034, 297, 168, 337, 192, 408, 296, 184, 504, 199, 320
9, 67, 990, 2135, 367, 1368, 264, 2135, 336, 328, 2135, 2135, 2135, 2135, 2135, 353, 296, 2135, 320, 607, 2327
10, 75, 2154, 4508, 512, 4508, 384, 392, 680, 657, 4508, 4508, 4508, 528, 400, 4508, 6657, 336, 4508, 4508, 431
11, 65, 1306, 2779, 536, 2779, 304, 280, 54159, 288, 2779, 2779, 368, 2779, 2779, 2779, 216, 240, 640, 2779, 248
12, 92, 966, 2124, 488, 208, 976, 288, 294, 272, 384, 400, 616, 384, 608, 488, 448, 345, 568, 360, 328
14, 100, 3107, 6502, 2048, 352, 479, 505, 6502, 376, 6502, 6502, 464, 6502, 271, 6502, 416, 6502, 6502, 6502, 351
15, 75, 3611, 7464, 672, 496, 416, 7464, 7464, 472, 7464, 664, 928, 1048, 504, 1064, 7464, 7464, 761, 784, 832
16, 103, 3047, 6451, 1232, 6451, 6451, 6451, 2048, 6451, 6451, 6451, 336, 400, 6451, 6451, 6451, 6451, 9503, 6451, 6451
17, 85, 4048, 8486, 577, 792, 437, 1400, 8486, 768, 1191, 8486, 689, 8486, 8486, 544, 592, 8486, 472, 8486, 8486
18, 62, 1200, 2559, 504, 264, 2559, 2559, 4464, 2559, 2559, 375, 705, 832, 2559, 2559, 2559, 2559, 2559, 2559, 2559
19, 88, 4467, 9175, 680, 408, 1744, 896, 720, 1872, 9175, 9175, 632, 400, 9175, 9175, 9175, 9175, 9175, 504, 640
20, 66, 1680, 3516, 360, 312, 451, 320, 3361, 335, 3516, 3516, 552, 312, 223, 591, 423, 1049, 328, 1093, 305
21, 76, 4025, 8268, 432, 8268, 400, 8268, 352, 624, 8268, 472, 600, 1328, 8268, 8268, 368, 1009, 752, 480, 431
22, 79, 2699, 5619, 284, 301, 5619, 283, 5619, 316, 5619, 5619, 241, 5619, 5619, 5619, 187, 418, 269, 271, 485
23, 81, 4385, 9398, 9398, 9398, 9398, 9398, 9398, 271, 263, 9398, 9398, 9398, 9398, 9398, 9398, 9398, 9398, 272, 9398
24, 71, 2856, 5972, 5972, 5972, 567, 5972, 5972, 5972, 5972, 5972, 5972, 5972, 5972, 5972, 5972, 616, 560, 17512, 5972
25, 74, 1146, 2462, 344, 345, 288, 2462, 6055, 383, 46688, 2462, 409, 328, 423, 455, 328, 313, 2462, 304, 448
26, 79, 521, 1191, 1191, 1191, 1191, 1191, 1191, 344, 1191, 408, 1191, 1191, 1191, 1191, 1191, 1191, 1191, 1191, 441
27, 83, 3042, 6337, 6337, 6337, 208, 224, 6337, 408, 193, 6337, 6337, 6337, 225, 6337, 280, 6337, 6337, 1106, 1576
28, 80, 1569, 3329, 200, 3329, 3329, 3329, 208, 272, 3329, 3329, 3329, 3329, 3816, 760, 3329, 319, 3329, 512, 1040
29, 113, 5693, 11921, 11921, 11921, 377, 615, 11921, 528, 11921, 11921, 1057, 11921, 11921, 11921, 576, 11921, 11921, 432, 351
30, 102, 700, 1608, 472, 353, 247, 384, 1248, 334, 488, 296, 289, 2057, 609, 440, 513, 446, 456, 1584, 368
31, 16, 1356, 2792, 2792, 324, 2792, 242, 284, 259, 249, 2792, 2792, 2792, 2792, 2792, 2792, 2792, 2792, 341, 2792
32, 65, 1235, 2665, 534, 2665, 2665, 2665, 533, 2665, 2665, 2665, 594, 2665, 383, 2665, 2665, 2665, 2665, 201, 2665
33, 19, 6367, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234, 21234
34, 71, 2839, 5900, 5900, 584, 263, 401, 5900, 5900, 5900, 424, 9480, 5900, 616, 583, 84208, 392, 760, 5900, 304
35, 83, 2587, 5371, 353, 569, 5371, 5371, 5371, 5371, 5371, 5371, 5371, 280, 5371, 5371, 5371, 207, 304, 25936, 5371
36, 67, 1300, 2757, 2757, 256, 232, 336, 2757, 352, 593, 2757, 344, 2757, 288, 336, 288, 1344, 360, 639, 280
37, 84, 2186, 4588, 312, 4588, 4588, 4588, 3184, 728, 4588, 4588, 944, 280, 4588, 744, 4588, 4588, 4588, 384, 4588
38, 90, 1625, 3454, 3454, 297, 304, 368, 3454, 344, 544, 3454, 528, 3454, 584, 720, 424, 3454, 392, 704, 336
39, 81, 1635, 3458, 975, 440, 2272, 512, 3458, 448, 688, 4232, 527, 3458, 1112, 968, 648, 3458, 384, 543, 528
40, 90, 1621, 3443, 456, 1200, 1352, 1016, 664, 720, 3443, 3443, 2712, 1184, 592, 3443, 384, 1056, 11072, 1128, 368
41, 89, 2046, 4297, 384, 272, 335, 768, 2832, 640, 4297, 473, 623, 4297, 4297, 4297, 4297, 272, 240, 465, 3335
42, 77, 9538, 19869, 563, 19869, 892, 717, 2062, 19869, 19869, 19869, 1218, 19869, 19869, 19869, 19869, 19869, 19869, 19869, 19869
43, 79, 3105, 6413, 424, 592, 392, 384, 109359, 328, 6413, 1647, 440, 6413, 432, 6413, 423, 432, 328, 440, 312
44, 72, 8227, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221, 17221
45, 91, 6885, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546, 14546
46, 79, 5060, 10382, 400, 545, 457, 215, 10382, 10382, 10382, 385, 519, 353, 10382, 10382, 10382, 296, 335, 423, 656
47, 71, 5744, 11843, 11843, 224, 11843, 11843, 11843, 11843, 11843, 11843, 11843, 11843, 11843, 78720, 11843, 11843, 1081, 432, 320
48, 97, 1726, 3665, 1265, 784, 3665, 3665, 3665, 560, 3665, 3665, 3665, 912, 856, 624, 1200, 3665, 855, 2312, 3592
49, 71, 4474, 9225, 4345, 1976, 1008, 9225, 9225, 1055, 9225, 9225, 9225, 1152, 9225, 776, 9225, 895, 1233, 9225, 9225
50, 84, 4870, 10094, 1039, 1257, 10094, 10094, 10240, 1409, 10094, 10094, 10094, 10094, 1432, 10094, 10094, 10094, 720, 1312, 10094
51, 88, 5561, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014, 13014
52, 142, 4100, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814, 8814
53, 66, 1188, 2544, 2544, 528, 2544, 2544, 2544, 455, 2544, 432, 512, 2544, 1248, 2544, 1024, 400, 2544, 945, 2544
54, 91, 1722, 3644, 536, 248, 464, 656, 328, 584, 248, 1640, 576, 312, 408, 3644, 488, 264, 824, 232, 344
55, 96, 3967, 8201, 512, 624, 8201, 8201, 8201, 8201, 640, 8201, 464, 464, 8201, 504, 360, 560, 472, 288, 640
56, 139, 2521, 5438, 480, 5438, 368, 5438, 9056, 665, 5438, 5438, 1096, 743, 5438, 5438, 5438, 5438, 5438, 503, 5438
57, 76, 2335, 4840, 448, 544, 328, 544, 480, 495, 4840, 439, 4840, 392, 424, 408, 1433, 416, 328, 100845, 504
58, 87, 6634, 13667, 1472, 13667, 13667, 897, 872, 1288, 13667, 13667, 1192, 13667, 13667, 952, 1216, 13667, 13667, 648, 1671
59, 84, 3253, 6720, 1000, 1008, 6720, 952, 8809, 1103, 6720, 6720, 6720, 6720, 847, 1240, 6720, 6720, 632, 880, 847
60, 100, 4400, 9111, 744, 352, 9111, 2168, 2096, 1832, 9111, 1360, 9111, 9111, 9111, 984, 9111, 776, 1000, 518, 744
61, 80, 4623, 9657, 2664, 744, 9657, 9657, 27160, 632, 9657, 9657, 9657, 9657, 976, 9657, 896, 9657, 352, 2592, 9657
62, 98, 4523, 9412, 9412, 9412, 9412, 352, 144529, 9412, 9412, 9412, 9412, 9412, 9412, 9412, 9412, 9412, 368, 9412, 9412
63, 89, 9269, 19361, 288, 19361, 19361, 19361, 10584, 19361, 19361, 19361, 352, 320, 19361, 19361, 19361, 19361, 288, 19361, 19361
64, 75, 2950, 6145, 376, 824, 3456, 6145, 82775, 1432, 6145, 736, 6145, 6145, 6145, 6145, 600, 688, 6145, 776, 496
65, 90, 3417, 7128, 432, 7128, 792, 440, 1736, 480, 7128, 7128, 976, 560, 360, 711, 7128, 2264, 624, 504, 576
66, 68, 1111, 2377, 488, 216, 440, 512, 2377, 288, 2377, 2377, 440, 287, 2377, 2377, 649, 744, 296, 2624, 448
67, 93, 3411, 7191, 528, 912, 520, 553, 1496, 569, 664, 585, 600, 464, 7191, 7191, 7191, 7191, 416, 440, 7191
68, 88, 2079, 4349, 264, 517, 249, 285, 477, 695, 4349, 498, 485, 297, 234, 380, 170, 761, 320, 555, 363
69, 70, 1559, 3312, 3312, 713, 592, 3312, 488, 319, 3312, 712, 416, 376, 3312, 400, 3312, 463, 3312, 488, 3312
70, 114, 836, 1909, 616, 328, 480, 488, 368, 384, 400, 1909, 895, 488, 440, 489, 408, 432, 504, 311, 448
71, 119, 2029, 4327, 479, 4327, 536, 1545, 1199, 2136, 4327, 4327, 616, 408, 4327, 4327, 360, 4327, 520, 1344, 336
72, 85, 3969, 8300, 311, 736, 1999, 8300, 8300, 240, 8300, 8300, 2008, 264, 8300, 8300, 488, 8300, 280, 8300, 289
73, 105, 676, 1617, 1617, 337, 1617, 1617, 1617, 1617, 1617, 1617, 1617, 1617, 408, 1617, 1617, 1617, 1617, 1617, 1617
74, 92, 4934, 10336, 791, 10336, 10336, 10336, 8929, 10336, 10336, 10336, 912, 10336, 10336, 10336, 10336, 10336, 10336, 848, 896
75, 57, 3104, 6487, 720, 6487, 736, 6487, 8167, 840, 1840, 424, 6487, 6487, 440, 6487, 5408, 616, 6487, 6487, 6487
76, 85, 3225, 6705, 2087, 744, 528, 6705, 17168, 560, 6705, 6705, 696, 1360, 4072, 728, 1544, 6705, 792, 1024, 703
77, 94, 3227, 6733, 6733, 216, 1696, 6733, 6733, 600, 6733, 6733, 6733, 432, 6733, 6733, 6733, 6733, 6733, 1144, 616
78, 98, 2085, 4392, 616, 648, 2072, 632, 1768, 2736, 680, 4392, 608, 4392, 992, 1000, 456, 520, 520, 576, 592
79, 93, 310, 844, 844, 844, 351, 844, 844, 595, 844, 844, 941, 844, 844, 844, 296, 844, 844, 844, 297
80, 107, 4203, 8662, 1528, 408, 872, 497, 5537, 352, 561, 319, 1608, 272, 848, 544, 8662, 497, 393, 520, 520
81, 94, 709, 1611, 560, 1833, 312, 472, 520, 464, 1611, 3528, 528, 688, 352, 512, 432, 223, 577, 520, 386
82, 83, 2890, 5997, 409, 880, 463, 575, 752, 1377, 529, 5997, 663, 328, 472, 753, 592, 5997, 304, 424, 5997
83, 86, 3145, 6526, 336, 6526, 312, 408, 888, 448, 488, 6526, 512, 360, 728, 368, 3336, 6526, 312, 6526, 6526
84, 91, 1213, 2621, 448, 488, 288, 568, 639, 455, 576, 2621, 1032, 888, 416, 815, 496, 760, 760, 681, 664
85, 91, 4289, 8842, 391, 576, 860, 1203, 13603, 548, 8842, 444, 2794, 1099, 874, 661, 8842, 1059, 8842, 350, 8842
86, 68, 1040, 2225, 416, 432, 440, 464, 2225, 328, 2225, 704, 344, 312, 368, 320, 481, 2225, 2225, 408, 472
87, 83, 1516, 3462, 3462, 3462, 3462, 3462, 3462, 3462, 3462, 2578, 3462, 3462, 3462, 3462, 3462, 3462, 3462, 3462, 3462
88, 88, 1150, 2473, 520, 728, 640, 1359, 984, 1176, 888, 864, 3376, 1064, 1152, 888, 1208, 2473, 624, 1480, 1112
89, 74, 919, 1995, 413, 568, 435, 369, 452, 256, 1995, 383, 652, 584, 519, 354, 570, 367, 434, 2153, 1995
90, 84, 9010, 11340, 11340, 11340, 11340, 11340, 11340, 11340, 11340, 11340, 11340, 11340, 11340, 716, 11340, 11340, 11340, 11340, 11340
91, 118, 1544, 3340, 454, 3340, 363, 3340, 539, 333, 3340, 3340, 863, 364, 268, 451, 3783, 353, 686, 3340, 3340
92, 71, 1317, 2809, 2809, 937, 785, 1216, 2809, 2809, 2809, 2809, 620, 2809, 814, 635, 2809, 12981, 661, 1823, 2809
93, 70, 861, 1926, 310, 573, 1926, 1926, 9515, 1926, 1926, 1926, 893, 1926, 1926, 1926, 6356, 844, 1926, 1926, 1926
94, 73, 226, 607, 212, 607, 333, 607, 305, 508, 607, 211, 413, 218, 174, 332, 406, 607, 601, 312, 338
95, 104, 629, 1476, 864, 1534, 689, 785, 765, 797, 1476, 909, 789, 1048, 893, 702, 12126, 1476, 559, 778, 594
96, 99, 342, 980, 980, 980, 980, 980, 980, 980, 980, 980, 980, 980, 674, 980, 980, 980, 980, 980, 980
97, 114, 284, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 630, 886, 886, 886, 886, 886, 886
98, 78, 198, 555, 784, 192, 198, 281, 279, 240, 264, 192, 160, 313, 208, 239, 247, 555, 328, 584, 184
99, 79, 1323, 2810, 1266, 2062, 2391, 2810, 813, 516, 2810, 2063, 2609, 828, 3313, 562, 2810, 2810, 1781, 1015, 953
100, 67, 437, 1028, 880, 1028, 680, 1028, 1028, 648, 1028, 1028, 736, 736, 871, 1028, 1028, 1028, 1028, 1008, 1028
101, 67, 874, 1904, 264, 840, 1904, 1904, 616, 496, 1904, 336, 1080, 592, 1904, 928, 672, 816, 664, 896, 625
102, 68, 807, 1763, 344, 1763, 345, 1763, 1763, 260, 1763, 1763, 1322, 840, 718, 336, 1763, 1763, 1763, 300, 1763
103, 80, 238, 612, 386, 612, 368, 612, 612, 439, 612, 612, 339, 502, 552, 501, 612, 612, 612, 1246, 612
104, 80, 188, 548, 466, 548, 399, 548, 548, 351, 548, 548, 352, 487, 499, 351, 548, 548, 548, 525, 548
105, 65, 244, 628, 452, 628, 487, 628, 628, 489, 628, 628, 417, 483, 628, 433, 628, 628, 628, 512, 628
106, 101, 533, 1274, 2088, 392, 236, 1274, 304, 409, 352, 255, 403, 488, 262, 1112, 1223, 1274, 312, 447, 304
107, 100, 248, 702, 622, 448, 264, 702, 702, 337, 352, 256, 984, 344, 408, 776, 9596, 702, 591, 919, 300
108, 105, 308, 836, 384, 335, 344, 836, 836, 281, 360, 360, 568, 344, 528, 424, 3408, 836, 296, 479, 384
109, 121, 357, 965, 516, 342, 354, 965, 965, 283, 318, 472, 337, 315, 317, 288, 355, 965, 233, 435, 332
110, 96, 1992, 4283, 4283, 4283, 4283, 4283, 4283, 4283, 4283, 4283, 4283, 4283, 786, 4283, 4283, 4283, 4283, 718, 4283
111, 121, 2037, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656
112, 81, 3055, 6347, 604, 567, 1573, 753, 1139, 603, 6347, 6347, 6347, 654, 6347, 1267, 989, 516, 721, 122173, 586
113, 73, 2856, 5930, 5930, 5930, 5930, 1137, 5930, 1199, 5930, 5930, 5930, 528, 5930, 5930, 456, 352, 5930, 672, 664
114, 108, 1788, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946, 3946
115, 82, 1061, 2501, 2501, 2501, 2501, 2501, 2501, 2501, 2501, 2501, 1368, 656, 2501, 2501, 2501, 2501, 2501, 2501, 2501
116, 97, 4789, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 376, 9892, 9892, 9892, 9892, 9892, 9892
117, 111, 5182, 10912, 10912, 10912, 10912, 10912, 10912, 10395, 10912, 10912, 10912, 10912, 10912, 10912, 10912, 10912, 10912, 10912, 10912
118, 78, 794, 1751, 511, 432, 404, 798, 4034, 404, 515, 482, 432, 511, 745, 474, 478, 1751, 490, 1952, 383
119, 79, 349, 862, 312, 484, 328, 625, 250, 548, 828, 453, 484, 390, 250, 281, 235, 1078, 172, 500, 250
120, 72, 305, 763, 360, 655, 704, 763, 224, 296, 763, 408, 464, 312, 631, 318, 763, 296, 400, 288, 344
121, 91, 469, 1125, 1063, 281, 359, 453, 219, 687, 1218, 860, 484, 391, 500, 407, 468, 1125, 344, 1047, 422
122, 82, 382, 926, 453, 554, 1219, 551, 1152, 452, 926, 584, 452, 418, 601, 805, 480, 534, 421, 781, 423
123, 70, 715, 1698, 1698, 1698, 1698, 1698, 1698, 1698, 1698, 1698, 1698, 1698, 584, 1698, 1698, 1698, 1698, 1698, 1698
124, 66, 474, 1084, 241, 336, 656, 256, 232, 400, 520, 288, 320, 288, 256, 304, 304, 288, 288, 352, 377
125, 77, 179, 549, 549, 549, 249, 265, 549, 549, 549, 549, 575, 549, 549, 549, 549, 549, 549, 549, 465
126, 98, 1146, 2493, 451, 850, 1140, 560, 540, 500, 711, 2493, 750, 890, 1000, 490, 1715, 950, 790, 800, 496
127, 91, 741, 1667, 484, 686, 562, 562, 780, 359, 343, 874, 577, 640, 499, 593, 1934, 405, 515, 858, 578
128, 101, 1068, 2343, 585, 615, 673, 710, 721, 1005, 415, 1214, 668, 956, 446, 1057, 692, 585, 957, 705, 2343
129, 89, 3178, 6547, 1181, 630, 700, 560, 370, 3290, 450, 750, 650, 440, 580, 550, 720, 1320, 391, 710, 730
130, 91, 741, 1669, 1513, 1014, 390, 453, 5413, 858, 374, 2371, 452, 733, 967, 436, 951, 640, 531, 1357, 483
131, 112, 750, 1727, 421, 453, 1482, 624, 780, 670, 1727, 1358, 453, 546, 515, 733, 593, 733, 452, 530, 624
133, 93, 5046, 10300, 584, 1244, 1382, 752, 671, 512, 452, 1190, 1760, 410, 1225, 520, 456, 514, 502, 510, 332
134, 79, 1243, 2649, 452, 499, 1435, 936, 2028, 531, 437, 406, 718, 655, 499, 561, 546, 7348, 499, 562, 1498
135, 86, 4440, 9121, 9121, 504, 9121, 9121, 584, 7761, 9121, 9121, 7344, 384, 9121, 9121, 9121, 336, 1656, 424, 9121
136, 94, 1275, 2745, 2854, 656, 546, 561, 671, 608, 2745, 1529, 1591, 390, 811, 499, 530, 1388, 344, 655, 639
137, 98, 877, 1956, 546, 609, 499, 842, 624, 1450, 655, 593, 1310, 1311, 515, 609, 546, 515, 624, 1716, 390
138, 85, 7040, 14287, 640, 280, 390, 920, 6115, 452, 312, 483, 374, 359, 578, 749, 374, 343, 406, 562, 327
139, 85, 3731, 7652, 655, 2090, 1264, 795, 1903, 499, 390, 5523, 593, 1108, 702, 889, 1872, 780, 718, 717, 1123
140, 91, 734, 1654, 1139, 561, 593, 1311, 343, 1248, 730, 921, 608, 577, 437, 530, 1342, 499, 406, 1498, 905
141, 94, 1252, 2692, 1154, 1373, 452, 453, 453, 1248, 468, 1482, 920, 468, 530, 655, 436, 1139, 3120, 2692, 640
142, 94, 1252, 2692, 1154, 1373, 452, 453, 453, 1248, 468, 1482, 920, 468, 530, 655, 436, 1139, 3120, 2692, 640
143, 94, 1252, 2692, 1154, 1373, 452, 453, 453, 1248, 468, 1482, 920, 468, 530, 655, 436, 1139, 3120, 2692, 640
146, 77, 1936, 4065, 384, 514, 323, 4065, 1246, 4065, 4065, 4065, 315, 860, 4065, 4065, 4065, 4065, 655, 4065, 4065
147, 96, 570, 1335, 578, 717, 1357, 671, 733, 1092, 375, 655, 1186, 577, 437, 390, 562, 1185, 2855, 811, 952
148, 97, 766, 1726, 1139, 687, 578, 499, 3183, 452, 453, 3650, 1311, 671, 483, 3494, 483, 562, 1233, 702, 546
149, 109, 907, 2038, 484, 483, 592, 873, 515, 1107, 531, 655, 1966, 469, 468, 1482, 843, 515, 2246, 1373, 561
150, 99, 1938, 4085, 530, 609, 14835, 453, 1341, 499, 437, 1359, 468, 390, 530, 609, 468, 406, 390, 656, 748
151, 103, 4154, 8537, 2262, 515, 15959, 483, 1888, 2668, 749, 2184, 608, 1233, 561, 577, 609, 437, 1747, 702, 8537
152, 93, 3290, 6762, 780, 873, 609, 593, 967, 2901, 530, 702, 1919, 609, 717, 1295, 514, 546, 452, 390, 733
153, 86, 915, 2009, 531, 608, 624, 671, 2009, 296, 312, 936, 483, 296, 374, 374, 452, 593, 281, 671, 561
154, 95, 2130, 4464, 500, 452, 608, 531, 515, 687, 4464, 1045, 1825, 1123, 687, 1155, 3650, 515, 671, 624, 468
155, 107, 3340, 6915, 593, 655, 530, 843, 499, 1326, 702, 5382, 780, 2512, 483, 514, 2560, 405, 670, 452, 655
156, 93, 718, 1626, 562, 655, 405, 515, 842, 530, 390, 406, 1669, 499, 2294, 436, 406, 639, 390, 530, 765
157, 11, 3322, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757
159, 97, 588, 1376, 406, 499, 1373, 2387, 405, 514, 1376, 1950, 1232, 904, 687, 453, 577, 1029, 499, 577, 515
160, 95, 1137, 2468, 858, 422, 1326, 2468, 593, 405, 2468, 1763, 2902, 905, 374, 2761, 1092, 546, 733, 2058, 530
161, 101, 1750, 3714, 734, 592, 749, 702, 499, 499, 562, 3714, 639, 390, 671, 546, 1060, 468, 375, 514, 874
162, 92, 585, 1359, 983, 1061, 483, 889, 484, 1357, 952, 1359, 1185, 546, 998, 1763, 500, 577, 562, 499, 780
163, 92, 585, 1359, 983, 1061, 483, 889, 484, 1357, 952, 1359, 1185, 546, 998, 1763, 500, 577, 562, 499, 780
164, 97, 1135, 2474, 921, 873, 1045, 1139, 1684, 873, 1451, 1123, 1653, 1123, 2153, 1107, 1451, 858, 1701, 983, 437
165, 87, 681, 1540, 374, 468, 686, 483, 811, 890, 515, 1139, 1732, 2496, 889, 483, 640, 530, 468, 780, 405
166, 77, 957, 2073, 374, 2059, 2342, 655, 2073, 811, 452, 562, 375, 640, 795, 687, 1592, 421, 452, 1419, 343
168, 11, 3322, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757, 6757
169, 117, 1558, 3362, 437, 546, 952, 546, 1342, 3354, 1232, 3362, 1700, 734, 577, 1107, 1076, 3362, 624, 827, 1295
170, 96, 893, 1985, 749, 484, 1061, 421, 982, 655, 656, 1270, 702, 499, 982, 436, 734, 1985, 421, 967, 1856
171, 108, 5843, 11945, 468, 686, 5710, 562, 748, 546, 562, 968, 889, 624, 531, 514, 671, 1108, 546, 483, 1279
172, 85, 2296, 4778, 749, 359, 515, 4778, 577, 437, 453, 2106, 1451, 1326, 827, 795, 437, 2917, 359, 671, 390
173, 104, 755, 1724, 1077, 655, 561, 671, 765, 499, 796, 640, 780, 593, 452, 764, 655, 594, 514, 624, 733
174, 91, 798, 1785, 515, 436, 670, 920, 468, 483, 546, 1778, 1404, 437, 718, 468, 1139, 421, 344, 1785, 1785
175, 103, 909, 2031, 1123, 577, 1482, 920, 1170, 577, 2031, 1357, 4696, 375, 468, 561, 733, 1248, 343, 841, 2031
177, 85, 1973, 4131, 1545, 452, 1872, 717, 1092, 1607, 718, 577, 874, 359, 655, 1638, 1591, 748, 359, 562, 4131
178, 86, 6994, 14215, 359, 702, 514, 14215, 1045, 1919, 733, 67689, 624, 920, 640, 531, 546, 14215, 842, 889, 2371
179, 98, 562, 1362, 249, 1362, 1362, 1362, 1362, 1362, 1362, 1362, 400, 344, 1362, 1362, 1362, 1362, 1362, 232, 401
181, 101, 1300, 2813, 1029, 500, 2403, 483, 468, 1436, 515, 952, 889, 530, 1232, 484, 904, 484, 468, 655, 1966
182, 103, 1362, 2937, 717, 640, 8221, 2937, 2937, 499, 2937, 671, 421, 359, 531, 499, 936, 530, 468, 624, 2937
183, 99, 740, 1684, 343, 702, 406, 468, 1684, 671, 453, 1389, 1123, 1996, 468, 1684, 686, 515, 5881, 344, 437
184, 111, 1631, 3494, 7347, 686, 453, 1030, 3494, 702, 3494, 499, 468, 1638, 608, 500, 3494, 421, 671, 3494, 3494
185, 117, 945, 2133, 671, 499, 796, 671, 515, 577, 421, 515, 936, 546, 562, 608, 1733, 577, 640, 515, 2133
186, 91, 857, 1904, 514, 484, 624, 640, 468, 1545, 1904, 561, 2996, 1046, 561, 1904, 484, 3198, 483, 578, 562
187, 93, 1121, 2436, 2169, 468, 515, 608, 390, 983, 2436, 1077, 546, 343, 468, 530, 624, 811, 1420, 1185, 390
188, 78, 637, 1436, 1061, 499, 1482, 577, 764, 1186, 1436, 624, 453, 1280, 546, 811, 374, 1279, 359, 811, 1436
189, 85, 3532, 7259, 437, 343, 327, 7259, 561, 733, 7259, 619699, 2418, 374, 514, 687, 453, 671, 297, 343, 577
190, 68, 2908, 6042, 324, 766, 6042, 6042, 228, 690, 6042, 1549, 6042, 321, 6042, 425, 1100, 232, 211, 283, 308
191, 83, 766, 1705, 624, 468, 530, 499, 702, 1280, 531, 967, 983, 374, 483, 593, 639, 483, 359, 1705, 717
192, 85, 3807, 7816, 484, 578, 1794, 734, 1139, 2029, 686, 437, 1045, 453, 686, 468, 780, 499, 436, 546, 7816
193, 85, 3807, 7816, 484, 578, 1794, 734, 1139, 2029, 686, 437, 1045, 453, 686, 468, 780, 499, 436, 546, 7816
194, 100, 1241, 2691, 1763, 546, 593, 499, 717, 717, 1108, 1295, 422, 593, 1139, 1155, 780, 546, 3104, 561, 421
195, 107, 771, 1764, 561, 561, 1154, 530, 1778, 14446, 1764, 765, 452, 687, 515, 983, 671, 593, 3994, 920, 1764
196, 87, 3930, 8067, 1435, 1685, 858, 1139, 2215, 842, 1233, 16364, 1856, 2980, 905, 827, 905, 1138, 999, 811, 483
197, 101, 2938, 6100, 952, 531, 905, 764, 1653, 468, 6100, 10421, 10312, 998, 983, 920, 561, 546, 2730, 718, 1919
198, 107, 686, 1593, 1045, 1154, 593, 1593, 640, 1825, 1593, 1716, 1123, 1593, 12948, 1030, 546, 1389, 468, 670, 1593
199, 102, 1950, 4120, 437, 530, 499, 1887, 515, 468, 1372, 702, 2185, 1061, 546, 530, 797, 624, 2076, 764, 905
200, 79, 624, 1411, 1248, 468, 343, 390, 1061, 437, 1411, 1139, 421, 343, 702, 1411, 421, 452, 390, 452, 421
201, 84, 905, 2065, 250, 2065, 2310, 2065, 6674, 2065, 2065, 2065, 1159, 327, 2065, 2065, 2065, 826, 281, 620, 2065
202, 105, 683, 1582, 437, 858, 437, 858, 796, 686, 1582, 640, 686, 343, 795, 484, 483, 1279, 358, 577, 546
