'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
2944, 67, 969, 2075, 638, 448, 826, 2075, 595, 478, 8607, 2834, 547, 636, 409, 1878, 637, 556, 665, 766, 903
2945, 70, 1052, 2248, 669, 386, 4317, 727, 586, 1795, 2248, 667, 619, 418, 527, 677, 408, 508, 310, 468, 734
2946, 78, 1431, 3034, 410, 325, 320, 453, 389, 264, 435, 3034, 277, 330, 377, 423, 307, 377, 323, 317, 436
2947, 89, 8005, 17380, 17380, 17380, 17380, 353, 17380, 17380, 378, 17380, 17380, 17380, 17380, 17380, 17380, 17380, 17380, 17380, 17380
2948, 74, 275, 631, 631, 330, 631, 631, 631, 631, 631, 420, 631, 476, 631, 417, 631, 380, 320, 631, 837
2949, 79, 911, 1970, 1070, 1970, 913, 1970, 483, 742, 1970, 1970, 291, 433, 336, 362, 400, 765, 320, 310, 990
2950, 74, 1168, 2547, 2547, 2547, 2547, 633, 2547, 392, 2547, 2547, 2547, 2547, 2547, 2547, 2547, 2547, 2547, 289, 2547
2951, 79, 376, 915, 627, 368, 341, 915, 338, 351, 915, 915, 305, 335, 1250, 915, 367, 377, 458, 306, 565
2952, 76, 910, 1991, 363, 1991, 264, 369, 1991, 310, 417, 429, 1244, 1991, 1991, 1991, 557, 1991, 300, 311, 382
2953, 84, 477, 1128, 1128, 1128, 297, 388, 1128, 1485, 402, 1128, 1128, 1128, 2480, 1128, 1128, 540, 312, 411, 1128
2954, 75, 589, 1343, 321, 327, 313, 582, 1343, 1343, 1082, 437, 1343, 320, 1343, 383, 1343, 360, 300, 1343, 1096
2955, 78, 1719, 3703, 3703, 3703, 3703, 3703, 3703, 3703, 3703, 3703, 3703, 3703, 3703, 367, 4599, 3703, 358, 3703, 465
2956, 77, 1110, 2350, 513, 350, 1003, 403, 2350, 333, 9716, 2350, 307, 933, 2350, 3200, 377, 477, 303, 327, 447
2957, 77, 6840, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931, 15931
2958, 83, 1268, 2735, 2735, 402, 2735, 364, 2735, 273, 507, 414, 571, 395, 526, 403, 2735, 522, 358, 324, 2735
2959, 82, 439, 1047, 369, 335, 278, 317, 261, 738, 402, 1047, 776, 399, 1311, 493, 354, 365, 304, 337, 391
