num,userID,avgHoldTime,avgSeekTime,averageNgramTime,I,AL,S,KS,EI,D,AK,L,O,LE,MA,IN,SI,EL,E,JA,LA,label
41,41,89,2046,4297,384,272,335,768,2832,640,1299.677705,473,623,675.6157162,871.4956309,826.7466775,760.6002876,272,240,465,3335,0
42,42,77,9538,19869,563,717.1615618,892,717,2062,1177.30961,1299.677705,1747.429268,1218,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
43,43,79,3105,6413,424,592,392,384,109359,328,1299.677705,1647,440,675.6157162,432,826.7466775,423,432,328,440,312,0
44,44,72,8227,17221,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
45,45,91,6885,14546,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
46,46,79,5060,10382,400,545,457,215,2009.008122,1177.30961,1299.677705,385,519,353,871.4956309,826.7466775,760.6002876,296,335,423,656,0
47,47,71,5744,11843,1003.300417,224,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,78720,760.6002876,647.9096863,1081,432,320,0
48,48,97,1726,3665,1265,784,1510.093069,639.5986021,2009.008122,560,1299.677705,1747.429268,1781.120632,912,856,624,1200,647.9096863,855,2312,3592,0
49,49,71,4474,9225,4345,1976,1008,639.5986021,2009.008122,1055,1299.677705,1747.429268,1781.120632,1152,871.4956309,776,760.6002876,895,1233,1379.438976,1000.98157,0
50,50,84,4870,10094,1039,1257,1510.093069,639.5986021,10240,1409,1299.677705,1747.429268,1781.120632,675.6157162,1432,826.7466775,760.6002876,647.9096863,720,1312,1000.98157,0
51,51,88,5561,13014,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
52,52,142,4100,8814,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
53,53,66,1188,2544,1003.300417,528,1510.093069,639.5986021,2009.008122,455,1299.677705,432,512,675.6157162,1248,826.7466775,1024,400,965.0537283,945,1000.98157,0
54,54,91,1722,3644,536,248,464,656,328,584,248,1640,576,312,408,826.7466775,488,264,824,232,344,0
55,55,96,3967,8201,512,624,1510.093069,639.5986021,2009.008122,1177.30961,640,1747.429268,464,464,871.4956309,504,360,560,472,288,640,0
56,56,139,2521,5438,480,717.1615618,368,639.5986021,9056,665,1299.677705,1747.429268,1096,743,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,503,1000.98157,0
57,57,76,2335,4840,448,544,328,544,480,495,1299.677705,439,1781.120632,392,424,408,1433,416,328,100845,504,0
58,58,87,6634,13667,1472,717.1615618,1510.093069,897,872,1288,1299.677705,1747.429268,1192,675.6157162,871.4956309,952,1216,647.9096863,965.0537283,648,1671,0
59,59,84,3253,6720,1000,1008,1510.093069,952,8809,1103,1299.677705,1747.429268,1781.120632,675.6157162,847,1240,760.6002876,647.9096863,632,880,847,0
60,60,100,4400,9111,744,352,1510.093069,2168,2096,1832,1299.677705,1360,1781.120632,675.6157162,871.4956309,984,760.6002876,776,1000,518,744,0
61,61,80,4623,9657,2664,744,1510.093069,639.5986021,27160,632,1299.677705,1747.429268,1781.120632,675.6157162,976,826.7466775,896,647.9096863,352,2592,1000.98157,0
62,62,98,4523,9412,1003.300417,717.1615618,1510.093069,352,144529,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,368,1379.438976,1000.98157,0
63,63,89,9269,19361,288,717.1615618,1510.093069,639.5986021,10584,1177.30961,1299.677705,1747.429268,352,320,871.4956309,826.7466775,760.6002876,647.9096863,288,1379.438976,1000.98157,0
64,64,75,2950,6145,376,824,3456,639.5986021,82775,1432,1299.677705,736,1781.120632,675.6157162,871.4956309,826.7466775,600,688,965.0537283,776,496,0
65,65,90,3417,7128,432,717.1615618,792,440,1736,480,1299.677705,1747.429268,976,560,360,711,760.6002876,2264,624,504,576,0
66,66,68,1111,2377,488,216,440,512,2009.008122,288,1299.677705,1747.429268,440,287,871.4956309,826.7466775,649,744,296,2624,448,0
67,67,93,3411,7191,528,912,520,553,1496,569,664,585,600,464,871.4956309,826.7466775,760.6002876,647.9096863,416,440,1000.98157,0
68,68,88,2079,4349,264,517,249,285,477,695,1299.677705,498,485,297,234,380,170,761,320,555,363,0
69,69,70,1559,3312,1003.300417,713,592,639.5986021,488,319,1299.677705,712,416,376,871.4956309,400,760.6002876,463,965.0537283,488,1000.98157,0
70,70,114,836,1909,616,328,480,488,368,384,400,1747.429268,895,488,440,489,408,432,504,311,448,0
71,71,119,2029,4327,479,717.1615618,536,1545,1199,2136,1299.677705,1747.429268,616,408,871.4956309,826.7466775,360,647.9096863,520,1344,336,0
72,72,85,3969,8300,311,736,1999,639.5986021,2009.008122,240,1299.677705,1747.429268,2008,264,871.4956309,826.7466775,488,647.9096863,280,1379.438976,289,0
73,73,105,676,1617,1003.300417,337,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,408,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
74,74,92,4934,10336,791,717.1615618,1510.093069,639.5986021,8929,1177.30961,1299.677705,1747.429268,912,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,848,896,0
75,75,57,3104,6487,720,717.1615618,736,639.5986021,8167,840,1840,424,1781.120632,675.6157162,440,826.7466775,5408,616,965.0537283,1379.438976,1000.98157,0
76,76,85,3225,6705,2087,744,528,639.5986021,17168,560,1299.677705,1747.429268,696,1360,4072,728,1544,647.9096863,792,1024,703,0
77,77,94,3227,6733,1003.300417,216,1696,639.5986021,2009.008122,600,1299.677705,1747.429268,1781.120632,432,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1144,616,0
78,78,98,2085,4392,616,648,2072,632,1768,2736,680,1747.429268,608,675.6157162,992,1000,456,520,520,576,592,0
79,79,93,310,844,1003.300417,717.1615618,351,639.5986021,2009.008122,595,1299.677705,1747.429268,941,675.6157162,871.4956309,826.7466775,296,647.9096863,965.0537283,1379.438976,297,0
80,80,107,4203,8662,1528,408,872,497,5537,352,561,319,1608,272,848,544,760.6002876,497,393,520,520,0
81,81,94,709,1611,560,1833,312,472,520,464,1299.677705,3528,528,688,352,512,432,223,577,520,386,0
82,82,83,2890,5997,409,880,463,575,752,1377,529,1747.429268,663,328,472,753,592,647.9096863,304,424,1000.98157,0
83,83,86,3145,6526,336,717.1615618,312,408,888,448,488,1747.429268,512,360,728,368,3336,647.9096863,312,1379.438976,1000.98157,0
84,84,91,1213,2621,448,488,288,568,639,455,576,1747.429268,1032,888,416,815,496,760,760,681,664,0
85,85,91,4289,8842,391,576,860,1203,13603,548,1299.677705,444,2794,1099,874,661,760.6002876,1059,965.0537283,350,1000.98157,0
86,86,68,1040,2225,416,432,440,464,2009.008122,328,1299.677705,704,344,312,368,320,481,647.9096863,965.0537283,408,472,0
87,87,83,1516,3462,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,2578,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
88,88,88,1150,2473,520,728,640,1359,984,1176,888,864,3376,1064,1152,888,1208,647.9096863,624,1480,1112,0
89,89,74,919,1995,413,568,435,369,452,256,1299.677705,383,652,584,519,354,570,367,434,2153,1000.98157,0
90,90,84,9010,11340,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,716,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
91,91,118,1544,3340,454,717.1615618,363,639.5986021,539,333,1299.677705,1747.429268,863,364,268,451,3783,353,686,1379.438976,1000.98157,0
92,92,71,1317,2809,1003.300417,937,785,1216,2009.008122,1177.30961,1299.677705,1747.429268,620,675.6157162,814,635,760.6002876,12981,661,1823,1000.98157,0
93,93,70,861,1926,310,573,1510.093069,639.5986021,9515,1177.30961,1299.677705,1747.429268,893,675.6157162,871.4956309,826.7466775,6356,844,965.0537283,1379.438976,1000.98157,0
94,94,73,226,607,212,717.1615618,333,639.5986021,305,508,1299.677705,211,413,218,174,332,406,647.9096863,601,312,338,0
95,95,104,629,1476,864,1534,689,785,765,797,1299.677705,909,789,1048,893,702,12126,647.9096863,559,778,594,0
96,96,99,342,980,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,674,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
97,97,114,284,886,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,630,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
98,98,78,198,555,784,192,198,281,279,240,264,192,160,313,208,239,247,647.9096863,328,584,184,0
99,99,79,1323,2810,1266,2062,2391,639.5986021,813,516,1299.677705,2063,2609,828,3313,562,760.6002876,647.9096863,1781,1015,953,0
100,100,67,437,1028,880,717.1615618,680,639.5986021,2009.008122,648,1299.677705,1747.429268,736,736,871,826.7466775,760.6002876,647.9096863,965.0537283,1008,1000.98157,0
101,101,67,874,1904,264,840,1510.093069,639.5986021,616,496,1299.677705,336,1080,592,871.4956309,928,672,816,664,896,625,0
102,102,68,807,1763,344,717.1615618,345,639.5986021,2009.008122,260,1299.677705,1747.429268,1322,840,718,336,760.6002876,647.9096863,965.0537283,300,1000.98157,0
103,103,80,238,612,386,717.1615618,368,639.5986021,2009.008122,439,1299.677705,1747.429268,339,502,552,501,760.6002876,647.9096863,965.0537283,1246,1000.98157,0
104,104,80,188,548,466,717.1615618,399,639.5986021,2009.008122,351,1299.677705,1747.429268,352,487,499,351,760.6002876,647.9096863,965.0537283,525,1000.98157,0
105,105,65,244,628,452,717.1615618,487,639.5986021,2009.008122,489,1299.677705,1747.429268,417,483,871.4956309,433,760.6002876,647.9096863,965.0537283,512,1000.98157,0
106,106,101,533,1274,2088,392,236,639.5986021,304,409,352,255,403,488,262,1112,1223,647.9096863,312,447,304,0
107,107,100,248,702,622,448,264,639.5986021,2009.008122,337,352,256,984,344,408,776,9596,647.9096863,591,919,300,0
108,108,105,308,836,384,335,344,639.5986021,2009.008122,281,360,360,568,344,528,424,3408,647.9096863,296,479,384,0
109,109,121,357,965,516,342,354,639.5986021,2009.008122,283,318,472,337,315,317,288,355,647.9096863,233,435,332,0
110,110,96,1992,4283,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,786,826.7466775,760.6002876,647.9096863,965.0537283,718,1000.98157,0
111,111,121,2037,4656,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
112,112,81,3055,6347,604,567,1573,753,1139,603,1299.677705,1747.429268,1781.120632,654,871.4956309,1267,989,516,721,122173,586,0
113,113,73,2856,5930,1003.300417,717.1615618,1510.093069,1137,2009.008122,1199,1299.677705,1747.429268,1781.120632,528,871.4956309,826.7466775,456,352,965.0537283,672,664,0
114,114,108,1788,3946,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
115,115,82,1061,2501,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1368,656,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
116,116,97,4789,9892,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,376,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
117,117,111,5182,10912,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,10395,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
118,118,78,794,1751,511,432,404,798,4034,404,515,482,432,511,745,474,478,647.9096863,490,1952,383,0
119,119,79,349,862,312,484,328,625,250,548,828,453,484,390,250,281,235,1078,172,500,250,0
120,120,72,305,763,360,655,704,639.5986021,224,296,1299.677705,408,464,312,631,318,760.6002876,296,400,288,344,0
121,121,91,469,1125,1063,281,359,453,219,687,1218,860,484,391,500,407,468,647.9096863,344,1047,422,0
122,122,82,382,926,453,554,1219,551,1152,452,1299.677705,584,452,418,601,805,480,534,421,781,423,0
123,123,70,715,1698,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,584,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
124,124,66,474,1084,241,336,656,256,232,400,520,288,320,288,256,304,304,288,288,352,377,0
125,125,77,179,549,1003.300417,717.1615618,249,265,2009.008122,1177.30961,1299.677705,1747.429268,575,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,465,0
126,126,98,1146,2493,451,850,1140,560,540,500,711,1747.429268,750,890,1000,490,1715,950,790,800,496,0
127,127,91,741,1667,484,686,562,562,780,359,343,874,577,640,499,593,1934,405,515,858,578,0
128,128,101,1068,2343,585,615,673,710,721,1005,415,1214,668,956,446,1057,692,585,957,705,1000.98157,0
129,129,89,3178,6547,1181,630,700,560,370,3290,450,750,650,440,580,550,720,1320,391,710,730,0
130,130,91,741,1669,1513,1014,390,453,5413,858,374,2371,452,733,967,436,951,640,531,1357,483,0
131,131,112,750,1727,421,453,1482,624,780,670,1299.677705,1358,453,546,515,733,593,733,452,530,624,0
132,133,93,5046,10300,584,1244,1382,752,671,512,452,1190,1760,410,1225,520,456,514,502,510,332,0
133,134,79,1243,2649,452,499,1435,936,2028,531,437,406,718,655,499,561,546,7348,499,562,1498,0
134,135,86,4440,9121,1003.300417,504,1510.093069,639.5986021,584,7761,1299.677705,1747.429268,7344,384,871.4956309,826.7466775,760.6002876,336,1656,424,1000.98157,0
135,136,94,1275,2745,2854,656,546,561,671,608,1299.677705,1529,1591,390,811,499,530,1388,344,655,639,0
136,137,98,877,1956,546,609,499,842,624,1450,655,593,1310,1311,515,609,546,515,624,1716,390,0
137,138,85,7040,14287,640,280,390,920,6115,452,312,483,374,359,578,749,374,343,406,562,327,0
138,139,85,3731,7652,655,2090,1264,795,1903,499,390,5523,593,1108,702,889,1872,780,718,717,1123,0
139,140,91,734,1654,1139,561,593,1311,343,1248,730,921,608,577,437,530,1342,499,406,1498,905,0
140,141,94,1252,2692,1154,1373,452,453,453,1248,468,1482,920,468,530,655,436,1139,3120,1379.438976,640,0
141,142,94,1252,2692,1154,1373,452,453,453,1248,468,1482,920,468,530,655,436,1139,3120,1379.438976,640,0
142,143,94,1252,2692,1154,1373,452,453,453,1248,468,1482,920,468,530,655,436,1139,3120,1379.438976,640,0
143,146,77,1936,4065,384,514,323,639.5986021,1246,1177.30961,1299.677705,1747.429268,315,860,871.4956309,826.7466775,760.6002876,647.9096863,655,1379.438976,1000.98157,0
144,147,96,570,1335,578,717,1357,671,733,1092,375,655,1186,577,437,390,562,1185,2855,811,952,0
145,148,97,766,1726,1139,687,578,499,3183,452,453,3650,1311,671,483,3494,483,562,1233,702,546,0
146,149,109,907,2038,484,483,592,873,515,1107,531,655,1966,469,468,1482,843,515,2246,1373,561,0
147,150,99,1938,4085,530,609,14835,453,1341,499,437,1359,468,390,530,609,468,406,390,656,748,0
148,151,103,4154,8537,2262,515,15959,483,1888,2668,749,2184,608,1233,561,577,609,437,1747,702,1000.98157,0
149,152,93,3290,6762,780,873,609,593,967,2901,530,702,1919,609,717,1295,514,546,452,390,733,0
150,153,86,915,2009,531,608,624,671,2009.008122,296,312,936,483,296,374,374,452,593,281,671,561,0
151,154,95,2130,4464,500,452,608,531,515,687,1299.677705,1045,1825,1123,687,1155,3650,515,671,624,468,0
152,155,107,3340,6915,593,655,530,843,499,1326,702,5382,780,2512,483,514,2560,405,670,452,655,0
153,156,93,718,1626,562,655,405,515,842,530,390,406,1669,499,2294,436,406,639,390,530,765,0
154,157,11,3322,6757,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
155,159,97,588,1376,406,499,1373,2387,405,514,1299.677705,1950,1232,904,687,453,577,1029,499,577,515,0
156,160,95,1137,2468,858,422,1326,639.5986021,593,405,1299.677705,1763,2902,905,374,2761,1092,546,733,2058,530,0
157,161,101,1750,3714,734,592,749,702,499,499,562,1747.429268,639,390,671,546,1060,468,375,514,874,0
158,162,92,585,1359,983,1061,483,889,484,1357,952,1747.429268,1185,546,998,1763,500,577,562,499,780,0
159,163,92,585,1359,983,1061,483,889,484,1357,952,1747.429268,1185,546,998,1763,500,577,562,499,780,0
160,164,97,1135,2474,921,873,1045,1139,1684,873,1451,1123,1653,1123,2153,1107,1451,858,1701,983,437,0
161,165,87,681,1540,374,468,686,483,811,890,515,1139,1732,2496,889,483,640,530,468,780,405,0
162,166,77,957,2073,374,2059,2342,655,2009.008122,811,452,562,375,640,795,687,1592,421,452,1419,343,0
163,168,11,3322,6757,1003.300417,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,1781.120632,675.6157162,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,1379.438976,1000.98157,0
164,169,117,1558,3362,437,546,952,546,1342,3354,1232,1747.429268,1700,734,577,1107,1076,647.9096863,624,827,1295,0
165,170,96,893,1985,749,484,1061,421,982,655,656,1270,702,499,982,436,734,647.9096863,421,967,1856,0
166,171,108,5843,11945,468,686,5710,562,748,546,562,968,889,624,531,514,671,1108,546,483,1279,0
167,172,85,2296,4778,749,359,515,639.5986021,577,437,453,2106,1451,1326,827,795,437,2917,359,671,390,0
168,173,104,755,1724,1077,655,561,671,765,499,796,640,780,593,452,764,655,594,514,624,733,0
169,174,91,798,1785,515,436,670,920,468,483,546,1778,1404,437,718,468,1139,421,344,1379.438976,1000.98157,0
170,175,103,909,2031,1123,577,1482,920,1170,577,1299.677705,1357,4696,375,468,561,733,1248,343,841,1000.98157,0
171,177,85,1973,4131,1545,452,1872,717,1092,1607,718,577,874,359,655,1638,1591,748,359,562,1000.98157,0
172,178,86,6994,14215,359,702,514,639.5986021,1045,1919,733,67689,624,920,640,531,546,647.9096863,842,889,2371,0
173,179,98,562,1362,249,717.1615618,1510.093069,639.5986021,2009.008122,1177.30961,1299.677705,1747.429268,400,344,871.4956309,826.7466775,760.6002876,647.9096863,965.0537283,232,401,0
174,181,101,1300,2813,1029,500,2403,483,468,1436,515,952,889,530,1232,484,904,484,468,655,1966,0
175,182,103,1362,2937,717,640,8221,639.5986021,2009.008122,499,1299.677705,671,421,359,531,499,936,530,468,624,1000.98157,0
176,183,99,740,1684,343,702,406,468,2009.008122,671,453,1389,1123,1996,468,826.7466775,686,515,5881,344,437,0
177,184,111,1631,3494,7347,686,453,1030,2009.008122,702,1299.677705,499,468,1638,608,500,760.6002876,421,671,1379.438976,1000.98157,0
178,185,117,945,2133,671,499,796,671,515,577,421,515,936,546,562,608,1733,577,640,515,1000.98157,0
179,186,91,857,1904,514,484,624,640,468,1545,1299.677705,561,2996,1046,561,826.7466775,484,3198,483,578,562,0
180,187,93,1121,2436,2169,468,515,608,390,983,1299.677705,1077,546,343,468,530,624,811,1420,1185,390,0
181,188,78,637,1436,1061,499,1482,577,764,1186,1299.677705,624,453,1280,546,811,374,1279,359,811,1000.98157,0
182,189,85,3532,7259,437,343,327,639.5986021,561,733,1299.677705,619699,2418,374,514,687,453,671,297,343,577,0
183,190,68,2908,6042,324,766,1510.093069,639.5986021,228,690,1299.677705,1549,1781.120632,321,871.4956309,425,1100,232,211,283,308,0
184,191,83,766,1705,624,468,530,499,702,1280,531,967,983,374,483,593,639,483,359,1379.438976,717,0
185,192,85,3807,7816,484,578,1794,734,1139,2029,686,437,1045,453,686,468,780,499,436,546,1000.98157,0
186,193,85,3807,7816,484,578,1794,734,1139,2029,686,437,1045,453,686,468,780,499,436,546,1000.98157,0
187,194,100,1241,2691,1763,546,593,499,717,717,1108,1295,422,593,1139,1155,780,546,3104,561,421,0
188,195,107,771,1764,561,561,1154,530,1778,14446,1299.677705,765,452,687,515,983,671,593,3994,920,1000.98157,0
189,196,87,3930,8067,1435,1685,858,1139,2215,842,1233,16364,1856,2980,905,827,905,1138,999,811,483,0
