77,152,0
65,158,315
84,117,136
69,180,102
77,130,455
65,84,1253
65,149,97
84,102,334
73,86,129
75,127,240
65,150,397
16,71,15552
82,71,15552
65,161,286
84,88,100
83,99,284
73,73,343
79,101,332
78,87,364
65,99,347
65,135,116
76,102,101
65,125,222
82,105,319
86,117,328
85,121,144
68,127,499
190,194,4914
32,112,3
16,97,2306
84,97,2306
69,150,395
72,115,55
84,80,239
69,88,128
68,141,456
32,143,673
82,89,562
65,153,145
84,100,53
83,124,224
73,88,130
79,105,130
78,93,256
65,94,255
65,181,100
76,87,101
65,109,206
82,99,286
86,120,315
85,115,65
71,101,500
69,147,82
8,114,2556
8,131,349
68,103,832
69,107,209
71,99,503
65,138,578
190,52,9583
32,119,9583
65,104,910
16,157,910
82,102,495
86,114,288
85,101,83
84,96,269
65,135,162
77,105,147
73,87,195
78,82,272
69,151,112
32,115,52
84,93,334
65,145,59
83,121,179
75,91,196
85,108,208
65,119,130
82,114,287
86,111,272
85,102,100
84,105,160
73,117,67
71,102,380
65,106,162
190,94,579
32,81,109
16,76,10566
75,107,10566
65,173,331
72,104,140
69,134,348
32,103,146
80,113,470
85,94,258
78,92,379
75,101,356
84,111,255
73,88,114
32,99,285
86,78,421
65,137,176
72,85,179
69,105,183
76,90,162
73,78,223
78,97,253
69,137,160
32,69,49
75,97,286
65,135,114
85,73,115
71,129,251
85,89,129
83,118,547
32,114,2386
65,104,348
82,98,285
86,115,300
84,90,395
69,113,284
76,89,162
74,82,286
69,106,191
76,83,319
190,68,5850
32,117,97
16,75,690
84,112,690
69,99,284
72,102,98
69,115,67
84,88,145
69,131,100
32,133,116
74,102,353
191,89,426
82,79,240
74,93,206
69,105,563
75,103,160
79,89,248
82,88,609
68,122,443
190,96,1191
32,99,50
78,74,17609
16,114,17609
65,125,1450
84,113,272
85,86,7698
82,89,394
65,92,425
65,163,98
76,95,86
65,122,150
82,99,286
86,130,285
85,85,163
76,97,367
73,93,197
83,109,206
69,107,161
32,91,160
65,125,206
83,109,192
84,90,176
69,125,224
78,107,210
68,83,469
65,104,112
74,95,273
65,132,115
71,65,455
65,134,115
32,106,101
65,133,77
83,119,131
84,90,229
69,121,144
190,109,6240
32,131,69
65,97,1739
16,162,1739
82,116,450
86,124,255
85,133,71
32,94,303
75,86,1869
192,74,425
77,117,349
77,84,68
69,118,144
32,87,132
65,109,224
83,109,193
84,93,191
77,83,517
69,116,50
68,112,255
190,68,465
32,92,56
84,97,8222
16,147,8222
191,116,496
80,89,580
83,95,224
69,90,192
68,109,207
32,93,145
74,110,235
65,119,99
32,93,113
76,96,263
73,78,224
71,118,347
73,85,67
75,91,206
65,121,180
85,89,145
68,79,254
83,96,239
69,107,159
68,108,191
32,105,177
65,102,133
82,99,301
86,95,239
85,135,98
68,84,363
190,93,6527
32,117,66
84,91,4375
16,141,4375
192,99,450
86,82,502
69,123,160
78,91,209
85,94,224
77,58,476
66,79,254
82,95,270
73,94,239
68,93,258
190,89,410
32,133,114
84,100,8424
16,100,8424
69,120,348
72,114,100
84,112,239
69,89,161
68,138,176
32,92,70
76,98,308
73,76,208
71,109,364
73,94,94
75,89,181
65,138,194
85,105,116
68,76,190
83,107,226
69,121,129
84,125,208
69,118,99
32,86,114
65,123,192
82,113,239
86,97,286
85,105,129
68,82,767
69,118,115
71,106,145
65,150,347
190,94,1018
32,114,42
65,96,23734
16,150,23734
82,137,559
86,130,288
85,104,99
32,112,286
75,84,319
69,137,160
73,88,131
68,159,97
77,110,200
73,91,176
78,82,268
69,106,144
32,183,2162
84,89,781
69,101,115
77,91,350
65,131,92
32,96,149
79,90,404
83,90,160
65,120,144
77,78,208
191,90,365
191,87,108
82,77,206
65,100,381
32,104,130
74,96,238
65,102,46
32,103,131
80,114,271
82,98,269
79,94,222
84,98,301
83,104,396
69,107,161
78,92,175
68,115,530
73,93,179
77,101,229
191,89,446
191,85,66
82,121,1175
65,165,85
32,122,749
74,100,497
191,83,534
82,148,380
71,147,276
73,122,176
190,83,2336
37,46,2552
37,86,338
37,107,223
8,86,720
76,99,365
37,32,1178
16,104,1502
80,131,1502
82,120,385
79,94,208
84,105,128
83,107,410
69,106,175
78,98,287
84,96,703
190,133,1333
32,132,132
16,80,6874
74,131,6874
65,124,206
71,89,131
65,147,82
84,98,54
73,94,438
83,121,163
69,105,163
32,90,145
86,130,515
191,87,132
76,93,226
74,97,285
69,110,223
78,92,68
68,97,277
65,123,176
77,95,224
73,91,207
78,94,255
69,116,131
32,88,68
80,87,363
82,110,254
79,73,244
84,108,209
83,74,460
69,125,240
78,90,163
84,100,347
73,87,115
68,97,253
69,106,144
83,135,331
190,108,2259
32,133,99
83,114,53857
16,182,53857
85,102,365
85,85,83
82,125,206
85,87,99
83,110,222
69,120,145
32,115,719
77,96,938
85,103,348
85,115,66
84,103,162
85,99,87
77,128,255
73,107,177
83,121,145
69,104,130
32,90,161
86,142,3903
191,102,117
76,92,194
74,99,284
69,95,286
78,85,85
68,99,314
65,106,146
77,81,269
73,104,161
78,95,257
69,134,114
32,99,69
80,84,317
82,118,378
79,90,181
84,88,240
83,88,384
69,110,206
78,109,191
84,96,255
73,94,206
68,108,175
69,103,144
83,97,256
190,110,472
32,134,98
16,117,18133
76,117,18133
65,141,273
69,102,321
78,101,377
32,90,146
74,96,238
65,136,128
32,102,67
73,96,253
78,109,192
84,100,284
82,109,223
69,117,66
83,103,348
83,135,112
190,97,273
32,102,65
83,72,40896
16,121,40896
84,67,447
65,132,69
84,71,130
73,93,441
83,122,159
84,105,413
73,81,286
76,104,813
73,93,207
78,90,303
69,135,104
32,99,68
75,100,271
79,89,125
71,89,394
85,106,143
77,82,347
190,41,1838
32,131,1838
83,94,876
16,175,876
69,88,114
75,111,578
84,106,388
79,106,159
82,103,115
68,88,395
